A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TderCam_0659	TderCam_0660	1448784381	223155	33636	225643	412541	160574	33798	161578	5067947	0.192919884998446	0.14941236818088	0.000453012182222096
TderCam_0659	TderCam_0958	1448952472	243986	56788	328583	375586	212454	51050	154091	4892418	0.263672892587617	0.207854318595824	0.000525805762760465
TderCam_0659	TderUga_0963	1448862543	310632	120525	392824	331035	205799	107885	160535	5027109	0.378474717541116	0.291340209771253	0.000638138404314639
TderCam_0659	TderCha_0964	1448846716	284090	88402	367304	347871	211996	81822	163320	5017118	0.330447862203302	0.256669072579819	0.000589191569310178
TderCam_0659	TderSSu_0965	1448802698	308034	117691	387095	346293	196518	103881	159431	5082081	0.368414456461009	0.281974308751657	0.000632260492426278
TderCam_0659	TderSSu_0966	1448809229	310085	116460	383964	341057	193127	104232	161535	5082073	0.36985933809245	0.283506989721363	0.000629044927257189
TderCam_0660	TderCam_0958	1448941786	250201	50978	329994	371016	216755	47320	154995	4902469	0.256811031109725	0.205410132847004	0.000522089263224305
TderCam_0660	TderUga_0963	1448859534	315265	120166	393564	330575	206391	108854	158237	5032284	0.378968876248251	0.291875171968396	0.000639656538469178
TderCam_0660	TderCha_0964	1448842620	285213	90270	365678	351380	211006	84016	160507	5021508	0.332246450017689	0.257068909459305	0.000591707284838903
TderCam_0660	TderSSu_0965	1448796009	312522	115396	387812	344614	198485	102584	159291	5088622	0.366453398191315	0.281243212826031	0.000631630800583771
TderCam_0660	TderSSu_0966	1448801568	311997	117854	384388	344164	190877	104491	159128	5091284	0.369850185225144	0.282981348077799	0.00063044890023248
TderCam_0958	TderUga_0963	1448931922	385408	105028	377703	344794	191667	101400	204329	4914309	0.357005956762733	0.279399850360174	0.000658427522733984
TderCam_0958	TderCha_0964	1448906721	356137	75782	350079	365445	197564	76812	207702	4909589	0.310791952258973	0.246252119487874	0.00061222305978078
TderCam_0958	TderSSu_0965	1448883156	382233	102075	370637	355020	183387	97171	204658	4960800	0.348631538718568	0.272071831857483	0.000650764706988432
TderCam_0958	TderSSu_0966	1448887527	385742	104780	370514	351108	176899	100150	205329	4966158	0.353954017614905	0.275823309857687	0.000652486805612203
TderUga_0963	TderCha_0964	1448747246	382358	103370	386159	361856	198578	106928	197293	5082048	0.353447980659256	0.275149502094776	0.000668757108695975
TderUga_0963	TderSSu_0965	1448592184	353164	72310	348568	410969	184585	71305	193466	5205817	0.286936538165178	0.224278267977755	0.000610808869959116
TderUga_0963	TderSSu_0966	1448596486	353704	75359	345780	408821	178768	74549	194651	5208295	0.292542781338991	0.227544364578941	0.000612029486168971
TderCha_0964	TderSSu_0965	1448696705	388435	102920	380972	367002	188824	97476	199741	5134749	0.34503084313809	0.26895834903045	0.000661522095272043
TderCha_0964	TderSSu_0966	1448697682	386850	104524	376048	366058	183692	98951	202102	5137487	0.347519383878857	0.270251567751604	0.000660126934512167
TderSSu_0965	TderSSu_0966	1448501394	332860	60334	329201	439911	177307	60632	184356	5284053	0.255947924258228	0.19914813466187	0.000585956472837896
